,Brand,Clockspeed,Model,Series
0,Intel,2.3,,Core i5
1,Intel,1.8,,Core i5
2,Intel,2.5,,Core i5 7200U
3,Intel,2.7,,Core i7
4,Intel,3.1,,Core i5
5,AMD,3GHz,9420,A9-Series
6,Intel,2.2,,Core i7
7,Intel,1.8,,Core i5
8,Intel,1.8,,Core i7 8550U
9,Intel,1.6,,Core i5 8250U
10,Intel,2.5,,Core i5 7200U
11,Intel,2,,Core i3 6006U
12,Intel,2.8,,Core i7
13,Intel,2,,Core i3 6006U
14,Intel,1.2,,Core M m3
15,Intel,2.3,,Core i5
16,Intel,2.7,,Core i7 7500U
17,Intel,2.9,,Core i7
18,Intel,2.4,,Core i3 7100U
19,Intel,1.6,,Core i5 8250U
20,Intel,1.44,,Atom x5-Z8350
21,Intel,2.5,,Core i5 7300HQ
22,AMD,1.5GHz,E2-9000e,E-Series
23,Intel,1.6,,Core i5 8250U
24,Intel,1.8,,Core i7 8550U
25,Intel,2,,Core i3 6006U
26,Intel,1.6,,Core i5
27,Intel,1.6,,Core i5 8250U
28,Intel,1.9,,Core i7 8650U
29,Intel,1.6,,Core i5 8250U
30,Intel,1.44,,Atom x5-Z8300
31,AMD,1.5GHz,E2-6110,E-Series
32,AMD,2.5GHz,9220,A6-Series
33,Intel,1.8,,Core i7 8550U
34,Intel,1.6,,Core i5
35,Intel,1.1,,Celeron Dual Core N3350
36,Intel,2.7,,Core i3 7130U
37,Intel,1.6,,Core i5 8250U
38,Intel,2.5,,Core i5 7200U
39,Intel,1.6,,Core i5 8250U
40,Intel,2,,Core i3 6006U
41,Intel,2.8,,Core i7 7700HQ
42,Intel,2.5,,Core i5 7200U
43,Intel,1.6,,Core i5 8250U
44,Intel,1.6,,Core i5 8250U
45,Intel,2.0,,Core i5
46,Intel,2,,Core i3 6006U
47,AMD,3GHz,1700,Ryzen
48,Intel,2.5,,Core i5 7200U
49,Intel,1.1,,Pentium Quad Core N4200
50,Intel,1.44,,Atom x5-Z8550
51,Intel,1.8,,Core i7 8550U
52,AMD,2.5GHz,9220,A6-Series
53,Intel,1.8,,Core i7 8550U
54,Intel,2.4,,Core i3 7100U
55,Intel,1.8,,Core i7 8550U
56,Intel,2,,Core i3 6006U
57,Intel,2.5,,Core i5 7200U
58,Intel,2.8,,Core i7 7700HQ
59,Intel,2,,Core i3 6006U
60,Intel,1.8,,Core i7 8550U
61,Intel,1.6,,Core i5 8250U
62,Intel,2.7,,Core i3 7130U
63,Intel,1.6,,Core i5 8250U
64,Intel,2.5,,Core i5 7200U
65,Intel,2.8,,Core i7 7700HQ
66,Intel,2,,Core i3 6006U
67,Intel,1.6,,Celeron Dual Core N3060
68,Intel,2.5,,Core i5 7200U
69,Intel,2.8,,Core i7 7700HQ
70,Intel,2.5,,Core i5 7200U
71,Intel,1.8,,Core i7 8550U
72,Intel,1.8,,Core i7 8550U
73,Intel,2.5,,Core i5 7300HQ
74,Intel,2,,Core i3 6006U
75,Intel,2.8,,Core i7 7700HQ
76,Intel,2.5,,Core i5 7200U
77,Intel,1.8,,Core i7 8550U
78,Intel,2.7,,Core i3 7130U
79,Intel,1.6,,Core i5 8250U
80,Intel,1.6,,Core i5 8250U
81,Intel,1.3,,Core i5
82,Intel,1.6,,Core i5 8250U
83,AMD,2.5GHz,9220,A6-Series
84,AMD,3GHz,9420,A9-Series
85,Intel,2.8,,Core i7 7700HQ
86,Intel,1.8,,Core i7 8550U
87,Intel,2.5,,Core i5 7200U
88,Intel,2.8,,Core i7 7700HQ
89,Intel,1.8,,Core i7 8550U
90,AMD,3GHz,9830P,FX
91,Intel,1.8,,Core i7 8550U
92,Intel,1.8,,Core i7 8550U
93,Intel,2.5,,Core i5 7300HQ
94,Intel,2.7,,Core i7 7500U
95,Intel,1.6,,Core i5 8250U
96,Intel,2.7,,Core i7 7500U
97,Intel,2,,Core i3 6006U
98,Intel,2.4,,Core i3 7100U
99,Intel,2.8,,Core i7 7700HQ
100,Intel,2.7,,Core i7 7500U
101,AMD,1.5GHz,E2-9000e,E-Series
102,Intel,1.6,,Core i5 8250U
103,Intel,2.7,,Core i7 7500U
104,Intel,2.5,,Core i5 7200U
105,Intel,2.5,,Core i5 7200U
106,Intel,2,,Core i3 6006U
107,Intel,2.7,,Core i7 7500U
108,Intel,2.8,,Core i7 7700HQ
109,Intel,2.7,,Core i7 7500U
110,Intel,1.8,,Core i7 8550U
111,Intel,2.4,,Core i7 7560U
112,Intel,2.5,,Core i5 7200U
113,Intel,1.6,,Core i5 8250U
114,Intel,1.6,,Core i5 8250U
115,Intel,1.6,,Core i5 8250U
116,Intel,1.8,,Core i7 8550U
117,Intel,1.8,,Core i7 8550U
118,Intel,2,,Core i3 6006U
119,Intel,1.8,,Core i7 8550U
120,Intel,2.4,,Core i3 7100U
121,Intel,2.8,,Core i7 7700HQ
122,Intel,2.5,,Core i5 7200U
123,Intel,1.8,,Core i7 8550U
124,AMD,3GHz,9420,A9-Series
125,Intel,1.6,,Celeron Dual Core N3060
126,Intel,1.6,,Core i5 8250U
127,AMD,1.5GHz,6110,E-Series
128,Intel,1.8,,Core i7 8550U
129,Intel,1.6,,Core i5 8250U
130,Intel,2.5,,Core i5 7200U
131,Intel,2,,Core i3 6006U
132,Intel,1.8,,Core i7 8550U
133,Intel,2.7,,Core i3 7130U
134,Intel,2.7,,Core i7 7500U
135,Intel,1.8,,Core i7 8550U
136,Intel,1.1,,Celeron Dual Core N3350
137,Intel,2.5,,Core i5 7300HQ
138,Intel,2.5,,Core i5 7200U
139,Intel,2.5,,Core i5 7200U
140,Intel,2.7,,Core i3 7130U
141,Intel,1.6,,Core i5 8250U
142,Intel,2.8,,Core i7 7700HQ
143,Intel,2.3,,Core i5 6200U
144,AMD,2.5GHz,9220,A6-Series
145,Intel,1.8,,Core i7 8550U
146,Intel,1.2,,Core M 6Y75
147,Intel,1.1,,Celeron Dual Core N3350
148,Intel,2.8,,Core i7 7700HQ
149,Intel,2,,Core i3 6006U
150,Intel,2.8,,Core i7 7700HQ
151,Intel,2.8,,Core i7 7700HQ
152,Intel,2.5,,Core i5 7200U
153,Intel,2.8,,Core i7 7700HQ
154,Intel,2.7,,Core i5 7500U
155,Intel,1.6,,Core i5 8250U
156,Intel,2.4,,Core i3 7100U
157,Intel,1.6,,Core i5 8250U
158,Intel,1.8,,Core i7 8550U
159,Intel,2.2,,Core i3 6006U
160,AMD,3GHz,9420,A9-Series
161,Intel,1.6,,Core i5 8250U
162,Intel,1.6,,Core i5 8250U
163,Intel,2.8,,Core i7 7700HQ
164,Intel,1.1,,Celeron Dual Core N3350
165,Intel,2.8,,Core i7 7700HQ
166,Intel,1.1,,Pentium Quad Core N4200
167,Intel,2.8,,Core i7 7700HQ
168,Intel,1.6,,Core i5 8250U
169,Intel,1.6,,Core i5 8250U
170,Intel,2.5,,Core i5 7200U
171,Intel,2.5,,Core i5 7200U
172,AMD,2.9GHz,9220,A6-Series
173,Intel,2.4,,Core i3 7100U
174,Intel,1.6,,Core i5 8250U
175,Intel,2.4,,Core i3 7100U
176,Intel,2,,Core i3 6006U
177,Intel,2.9,,Core i7 6920HQ
178,Intel,2.5,,Core i5 7200U
179,Intel,1.6,,Core i5 8250U
180,Intel,1.8,,Core i7 8550U
181,Intel,1.6,,Core i5 8250U
182,Intel,1.8,,Core i7 8550U
183,Intel,2.5,,Core i5 7200U
184,Intel,1.6,,Core i5 8250U
185,Intel,1.8,,Core i7 8550U
186,Intel,2.8,,Core i7 7700HQ
187,Intel,2.5,,Core i5 7300HQ
188,Intel,1.2,,Core i5 7Y54
189,Intel,1.8,,Core i7 8550U
190,Intel,2.7,,Core i7 7500U
191,Intel,1.1,,Celeron Dual Core N3350
192,Intel,2.5,,Core i5 7200U
193,Intel,1.6,,Core i5 8250U
194,Intel,1.8,,Core i7 8550U
195,Intel,1.6,,Core i5 8250U
196,Intel,2.9,,Core i7 7820HK
197,Intel,1.6,,Core i5 8250U
198,Intel,2.8,,Core i7 7700HQ
199,Intel,1.8,,Core i7 8550U
200,Intel,2.8,,Core i7 7700HQ
201,Intel,2.3,,Core i5 6200U
202,Intel,2.7,,Core i7 7500U
203,Intel,2.8,,Core i7 7700HQ
204,Intel,3,,Xeon E3-1505M V6
205,Intel,2.8,,Core i7 7700HQ
206,Intel,2.4,,Core i3 7100U
207,Intel,1.8,,Core i7 8550U
208,Intel,1.8,,Core i7 8550U
209,Intel,2.5,,Core i5 7200U
210,Intel,2.8,,Core i7 7700HQ
211,Intel,2.8,,Core i7 7700HQ
212,Intel,2,,Core i3 6006U
213,Intel,2.5,,Core i5 7200U
214,Intel,2.7,,Core i7 7500U
215,Intel,1.8,,Core i7 8550U
216,Intel,2.5,,Core i5 7200U
217,Intel,1.8,,Core i7 8550U
218,Intel,1.6,,Core i5 8250U
219,Intel,1.8,,Core i7 8550U
220,Intel,1.6,,Core i5 8250U
221,Intel,1.6,,Core i5 8250U
222,Intel,2.5,,Core i7 6500U
223,Intel,1.6,,Core i5 8250U
224,Intel,2.8,,Core i7 7700HQ
225,Intel,2.7,,Core i7 7500U
226,Intel,2.7,,Core i7 7500U
227,Intel,2.5,,Core i5 7200U
228,Intel,2.5,,Core i5 7200U
229,Intel,2.7,,Core i7 7500U
230,Intel,2.4,,Core i3 7100U
231,AMD,1.5GHz,9000e,E-Series
232,Intel,2.8,,Core i7 7700HQ
233,Intel,2.5,,Core i5 7200U
234,Intel,2.3,,Core i5 6200U
235,Intel,2.7,,Core i7 7500U
236,Intel,2,,Core i3 6006U
237,AMD,2.5GHz,A10-9620P,A10-Series
238,Intel,2.9,,Core i7 7820HK
239,Intel,2.5,,Core i5 7300HQ
240,Intel,2,,Core i3 6006U
241,Intel,1.8,,Core i7 8550U
242,Intel,2.7,,Core i7 7500U
243,Intel,2.5,,Core i5 7300HQ
244,Intel,2.7,,Core i7 7500U
245,Intel,1.8,,Core i7 8550U
246,Intel,2.5,,Core i5 7200U
247,Intel,2.9,,Core i7 7820HK
248,Intel,1.6,,Core i5 8250U
249,Intel,3.1,,Core i5
250,Intel,1.8,,Core i7 8550U
251,Intel,2.8,,Core i7 7700HQ
252,AMD,3GHz,9420,A9-Series
253,Intel,1.8,,Core i7 8550U
254,Intel,2.7,,Core i3 7130U
255,Intel,1.6,,Core i5 8250U
256,AMD,2.5GHz,A6-9220,A6-Series
257,Intel,1.8,,Core i7 8550U
258,Intel,2.8,,Core i7 7700HQ
259,Intel,2.8,,Core i7 7700HQ
260,Intel,1.8,,Core i7 8550U
261,Intel,2,,Core i3 6006U
262,Intel,1.6,,Core i5 8250U
263,Intel,2.5,,Core i5 7200U
264,Intel,2.5,,Core i5 7200U
265,Intel,1.6,,Core i5 8250U
266,Intel,1.8,,Core i7 8550U
267,Intel,2.5,,Core i5 7200U
268,Intel,1.8,,Core i7 8550U
269,Intel,1.8,,Core i7 8550U
270,Intel,2.9,,Core i5
271,AMD,3GHz,1700,Ryzen
272,Intel,1.8,,Core i7 8550U
273,Intel,2.6,,Core i7 6600U
274,Intel,2.5,,Core i7 6500U
275,Intel,2.7,,Core i7 7500U
276,Intel,1.8,,Core i7 8550U
277,Intel,1.8,,Core i7 8550U
278,Intel,2,,Core i3 6006U
279,Intel,1.8,,Core i7 8550U
280,Intel,2.7,,Core i7 7500U
281,Intel,2.0,,Core i3 6006U
282,Intel,2.5,,Core i5 7300HQ
283,Intel,2.5,,Core i5 7200U
284,Intel,1.8,,Core i7 8550U
285,Intel,2.7,,Core i7 7500U
286,Intel,2.7,,Core i7 7500U
287,Intel,2.5,,Core i5 7200U
288,Intel,2.8,,Core i7 7700HQ
289,Intel,2.7,,Core i7 7500U
290,Intel,1.5,,Celeron Dual Core 3205U
291,Intel,2.8,,Core i7 7700HQ
292,Intel,2,,Core i3 6006U
293,Intel,2.8,,Core i7 7700HQ
294,Intel,1.6,,Core i5 8250U
295,Intel,2.8,,Core i7 7700HQ
296,Intel,2.8,,Core i7 7700HQ
297,Intel,2.9,,Core i7 7820HQ
298,AMD,2.4GHz,9600P,A10-Series
299,Intel,2.7,,Core i7 7500U
300,Intel,2.4,,Core i3 7100U
301,Intel,2.8,,Core i7 7700HQ
302,Intel,2.5,,Core i5 7200U
303,Intel,2.5,,Core i5 7200U
304,Intel,2.8,,Core i7 7700HQ
305,Intel,1.1,,Pentium Quad Core N4200
306,Intel,2.8,,Core i7 7600U
307,Intel,2.5,,Core i7 6500U
308,Intel,2.5,,Core i5 7200U
309,Intel,2,,Core i3 6006U
310,Intel,2.5,,Core i5 7200U
311,Intel,1.8,,Core i7 8550U
312,Intel,2.8,,Core i7 7700HQ
313,AMD,2.2GHz,7410,A8-Series
314,Intel,1.1,,Celeron Dual Core N3350
315,Intel,1.6,,Core i5 8250U
316,Intel,1.8,,Core i7 8550U
317,Intel,1.6,,Celeron Dual Core 3855U
318,Intel,2.5,,Core i5 7200U
319,Intel,1.6,,Pentium Quad Core N3710
320,Intel,2.7,,Core i7 7500U
321,Intel,2.5,,Core i5 7200U
322,Intel,2.7,,Core i7 7500U
323,Intel,1.8,,Core i7 8550U
324,AMD,2.7GHz,9720P,A12-Series
325,Intel,1.1,,Celeron Dual Core N3350
326,Intel,2.5,,Core i5 7200U
327,Intel,2.7,,Core i7 7500U
328,Intel,2.7,,Core i7 7500U
329,Intel,2.8,,Core i7 7700HQ
330,Intel,2.8,,Core i7 7700HQ
331,Intel,2.5,,Core i5 7200U
332,Intel,2.7,,Core i7 7500U
333,Intel,2,,Core i3 6006U
334,Intel,2.8,,Core i7 7700HQ
335,Intel,2.6,,Core i5 7300U
336,Intel,1.6,,Core i5 8250U
337,Intel,2.5,,Core i5 7200U
338,Intel,1.1,,Celeron Dual Core N3350
339,Intel,1.6,,Core i5 8250U
340,Intel,1.6,,Celeron Dual Core N3060
341,AMD,3.6GHz,9720P,A12-Series
342,Intel,2.4,,Core i3 7100U
343,Intel,1.8,,Core i7 8550U
344,Intel,1.8,,Core i7 8550U
345,Intel,2.8,,Core i7 7700HQ
346,Intel,1.6,,Celeron Dual Core N3060
347,Intel,1.9,,Core i7 8650U
348,Intel,1.1,,Celeron Dual Core N3350
349,Intel,1.6,,Core i5 8250U
350,Intel,2.8,,Core i7 7700HQ
351,Intel,2.7,,Core i7 7500U
352,Intel,2.8,,Core i7 7700HQ
353,Intel,2.8,,Core i7 7700HQ
354,Intel,2.5,,Core i7 6500U
355,Intel,1.8,,Core i7 8550U
356,Intel,1.1,,Celeron Dual Core N3350
357,Intel,2.5,,Core i5 7300HQ
358,Intel,2.5,,Core i5 7200U
359,Intel,2.6,,Core i5 7300U
360,Intel,2,,Core i3 6006U
361,Intel,2.5,,Core i5 7200U
362,Intel,2.5,,Core i5 7200U
363,Intel,2.5,,Core i5 7200U
364,Intel,2,,Core i3 6006U
365,Intel,1.6,,Pentium Quad Core N3710
366,Intel,1.6,,Core i5 8250U
367,Intel,2.5,,Core i5 7300HQ
368,Intel,2.7,,Core i7 7500U
369,Intel,2.7,,Core i7 7500U
370,Intel,2.7,,Core i7 7500U
371,AMD,3GHz,9420,A9-Series
372,AMD,3GHz,1700,Ryzen
373,AMD,2.2GHz,7410,A8-Series
374,Intel,1.8,,Core i7 8550U
375,AMD,3GHz,9420,A9-Series
376,Intel,1.1,,Celeron Quad Core N3450
