,Manufacturer,Model Name,Category,Screen Size,GPU,Operating System,Operating System Version,Weight,Price (Euros),Resolution,Screen_Type,RAM,SSD,HDD,HYBRID,SSD_CAPACITY,HDD_CAPACITY,HYBRID_CAPACITY,TOTAL_STORAGE
0,Apple,MacBook Pro,Ultrabook,"13.3""",Intel Iris Plus Graphics 640,macOS,,1.37kg,"1339,69",2560x1600,No Touchscreen,8,True,False,False,128,0,0,128
1,Apple,Macbook Air,Ultrabook,"13.3""",Intel HD Graphics 6000,macOS,,1.34kg,"898,94",1440x900,No Touchscreen,8,True,False,False,128,0,0,128
2,HP,250 G6,Notebook,"15.6""",Intel HD Graphics 620,No OS,,1.86kg,"575,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
3,Apple,MacBook Pro,Ultrabook,"15.4""",AMD Radeon Pro 455,macOS,,1.83kg,"2537,45",2880x1800,No Touchscreen,16,True,False,False,512,0,0,512
4,Apple,MacBook Pro,Ultrabook,"13.3""",Intel Iris Plus Graphics 650,macOS,,1.37kg,"1803,60",2560x1600,No Touchscreen,8,True,False,False,256,0,0,256
5,Acer,Aspire 3,Notebook,"15.6""",AMD Radeon R5,Windows,10,2.1kg,"400,00",1366x768,No Touchscreen,4,False,True,False,0,500,0,500
6,Apple,MacBook Pro,Ultrabook,"15.4""",Intel Iris Pro Graphics,Mac OS,X,2.04kg,"2139,97",2880x1800,No Touchscreen,16,True,False,False,256,0,0,256
7,Apple,Macbook Air,Ultrabook,"13.3""",Intel HD Graphics 6000,macOS,,1.34kg,"1158,70",1440x900,No Touchscreen,8,True,False,False,256,0,0,256
8,Asus,ZenBook UX430UN,Ultrabook,"14.0""",Nvidia GeForce MX150,Windows,10,1.3kg,"1495,00",1920x1080,No Touchscreen,16,True,False,False,512,0,0,512
9,Acer,Swift 3,Ultrabook,"14.0""",Intel UHD Graphics 620,Windows,10,1.6kg,"770,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
10,HP,250 G6,Notebook,"15.6""",Intel HD Graphics 620,No OS,,1.86kg,"393,90",1366x768,No Touchscreen,4,False,True,False,0,500,0,500
11,HP,250 G6,Notebook,"15.6""",Intel HD Graphics 520,No OS,,1.86kg,"344,99",1920x1080,No Touchscreen,4,False,True,False,0,500,0,500
12,Apple,MacBook Pro,Ultrabook,"15.4""",AMD Radeon Pro 555,macOS,,1.83kg,"2439,97",2880x1800,No Touchscreen,16,True,False,False,256,0,0,256
13,Dell,Inspiron 3567,Notebook,"15.6""",AMD Radeon R5 M430,Windows,10,2.2kg,"498,90",1920x1080,No Touchscreen,4,True,False,False,256,0,0,256
14,Apple,"MacBook 12""",Ultrabook,"12.0""",Intel HD Graphics 615,macOS,,0.92kg,"1262,40",2304x1440,No Touchscreen,8,True,False,False,256,0,0,256
15,Apple,MacBook Pro,Ultrabook,"13.3""",Intel Iris Plus Graphics 640,macOS,,1.37kg,"1518,55",2560x1600,No Touchscreen,8,True,False,False,256,0,0,256
16,Dell,Inspiron 3567,Notebook,"15.6""",AMD Radeon R5 M430,Windows,10,2.2kg,"745,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
17,Apple,MacBook Pro,Ultrabook,"15.4""",AMD Radeon Pro 560,macOS,,1.83kg,"2858,00",2880x1800,No Touchscreen,16,True,False,False,512,0,0,512
18,Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Nvidia GeForce 940MX,No OS,,2.2kg,"499,00",1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000
19,Dell,XPS 13,Ultrabook,"13.3""",Intel UHD Graphics 620,Windows,10,1.22kg,"979,00",1920x1080,Touchscreen,8,True,False,False,128,0,0,128
20,Asus,Vivobook E200HA,Netbook,"11.6""",Intel HD Graphics 400,Windows,10,0.98kg,"191,90",1366x768,No Touchscreen,2,True,False,False,32,0,0,32
21,Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",Nvidia GeForce GTX 1050,Windows,10,2.5kg,"999,00",1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128
22,HP,255 G6,Notebook,"15.6""",AMD Radeon R2,No OS,,1.86kg,"258,00",1366x768,No Touchscreen,4,False,True,False,0,500,0,500
23,Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Intel UHD Graphics 620,Windows,10,1.62kg,"819,00",1920x1080,Touchscreen,8,True,False,False,256,0,0,256
24,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,"15.6""",Intel HD Graphics 620,Windows,10,1.91kg,"659,00",1920x1080,No Touchscreen,8,True,False,False,256,0,0,256
25,Dell,Inspiron 3567,Notebook,"15.6""",Intel HD Graphics 520,Windows,10,2.3kg,"418,64",1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000
