Manufacturer,Model Name,Category,Screen Size,GPU,Price (Euros),Screen_Type,RAM,SSD,HDD,HYBRID,SSD_CAPACITY,HDD_CAPACITY,HYBRID_CAPACITY,TOTAL_STORAGE,Brand,Clockspeed,Model,Series,Width,Height,fullRes
Apple,MacBook Pro,Ultrabook,13.3,Intel Iris Plus Graphics 640,1339,No Touchscreen,8,True,False,False,128,0,0,128,Intel,2.3,,Core i5,2560,1600,4096000
Apple,Macbook Air,Ultrabook,13.3,Intel HD Graphics 6000,898,No Touchscreen,8,True,False,False,128,0,0,128,Intel,1.8,,Core i5,1440,900,1296000
HP,250 G6,Notebook,15.6,Intel HD Graphics 620,575,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Apple,MacBook Pro,Ultrabook,15.4,AMD Radeon Pro 455,2537,No Touchscreen,16,True,False,False,512,0,0,512,Intel,2.7,,Core i7,2880,1800,5184000
Apple,MacBook Pro,Ultrabook,13.3,Intel Iris Plus Graphics 650,1803,No Touchscreen,8,True,False,False,256,0,0,256,Intel,3.1,,Core i5,2560,1600,4096000
Acer,Aspire 3,Notebook,15.6,AMD Radeon R5,400,No Touchscreen,4,False,True,False,0,500,0,500,AMD,3.0,9420,A9-Series,1366,768,1049088
Apple,MacBook Pro,Ultrabook,15.4,Intel Iris Pro Graphics,2139,No Touchscreen,16,True,False,False,256,0,0,256,Intel,2.2,,Core i7,2880,1800,5184000
Apple,Macbook Air,Ultrabook,13.3,Intel HD Graphics 6000,1158,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i5,1440,900,1296000
Asus,ZenBook UX430UN,Ultrabook,14.0,Nvidia GeForce MX150,1495,No Touchscreen,16,True,False,False,512,0,0,512,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Acer,Swift 3,Ultrabook,14.0,Intel UHD Graphics 620,770,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
HP,250 G6,Notebook,15.6,Intel HD Graphics 620,393,No Touchscreen,4,False,True,False,0,500,0,500,Intel,2.5,,Core i5 7200U,1366,768,1049088
HP,250 G6,Notebook,15.6,Intel HD Graphics 520,344,No Touchscreen,4,False,True,False,0,500,0,500,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Apple,MacBook Pro,Ultrabook,15.4,AMD Radeon Pro 555,2439,No Touchscreen,16,True,False,False,256,0,0,256,Intel,2.8,,Core i7,2880,1800,5184000
Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,498,No Touchscreen,4,True,False,False,256,0,0,256,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Apple,"MacBook 12""",Ultrabook,12.0,Intel HD Graphics 615,1262,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.2,,Core M m3,2304,1440,3317760
Apple,MacBook Pro,Ultrabook,13.3,Intel Iris Plus Graphics 640,1518,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.3,,Core i5,2560,1600,4096000
Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,745,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Apple,MacBook Pro,Ultrabook,15.4,AMD Radeon Pro 560,2858,No Touchscreen,16,True,False,False,512,0,0,512,Intel,2.9,,Core i7,2880,1800,5184000
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Nvidia GeForce 940MX,499,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.4,,Core i3 7100U,1920,1080,2073600
Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,979,Touchscreen,8,True,False,False,128,0,0,128,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Asus,Vivobook E200HA,Netbook,11.6,Intel HD Graphics 400,191,No Touchscreen,2,True,False,False,32,0,0,32,Intel,1.44,,Atom x5-Z8350,1366,768,1049088
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050,999,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
HP,255 G6,Notebook,15.6,AMD Radeon R2,258,No Touchscreen,4,False,True,False,0,500,0,500,AMD,1.5,E2-9000e,E-Series,1366,768,1049088
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel UHD Graphics 620,819,Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Intel HD Graphics 620,659,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Dell,Inspiron 3567,Notebook,15.6,Intel HD Graphics 520,418,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.0,,Core i3 6006U,1366,768,1049088
Apple,MacBook Air,Ultrabook,13.3,Intel HD Graphics 6000,1099,No Touchscreen,8,True,False,False,128,0,0,128,Intel,1.6,,Core i5,1440,900,1296000
Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,800,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Dell,Latitude 5590,Ultrabook,15.6,Intel UHD Graphics 620,1298,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.9,,Core i7 8650U,1920,1080,2073600
HP,ProBook 470,Notebook,17.3,Nvidia GeForce 930MX,896,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Chuwi,"LapBook 15.6""",Notebook,15.6,Intel HD Graphics,244,No Touchscreen,4,True,False,False,64,0,0,64,Intel,1.44,,Atom x5-Z8300,1920,1080,2073600
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,AMD Radeon R2,199,No Touchscreen,2,True,False,False,32,0,0,32,AMD,1.5,E2-6110,E-Series,1366,768,1049088
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,AMD Radeon 530,439,No Touchscreen,4,False,True,False,0,500,0,500,AMD,2.5,9220,A6-Series,1920,1080,2073600
Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,1869,Touchscreen,16,True,False,False,512,0,0,512,Intel,1.8,,Core i7 8550U,3200,1800,5760000
