Unnamed: 0,Manufacturer,Model Name,Category,Screen Size,GPU,Operating System,Operating System Version,Weight,Price (Euros),Resolution,Screen_Type,RAM,SSD,HDD,HYBRID,SSD_CAPACITY,HDD_CAPACITY,HYBRID_CAPACITY,TOTAL_STORAGE,Unnamed: 0,Brand,Clockspeed,Model,Series,Width,Height,fullRes
0,Apple,MacBook Pro,Ultrabook,13.3,Intel Iris Plus Graphics 640,macOS,,1.37kg,1339,2560x1600,No Touchscreen,8,True,False,False,128,0,0,128,0,Intel,2.3,,Core i5,2560,1600,4096000
1,Apple,Macbook Air,Ultrabook,13.3,Intel HD Graphics 6000,macOS,,1.34kg,898,1440x900,No Touchscreen,8,True,False,False,128,0,0,128,1,Intel,1.8,,Core i5,1440,900,1296000
2,HP,250 G6,Notebook,15.6,Intel HD Graphics 620,No OS,,1.86kg,575,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,2,Intel,2.5,,Core i5 7200U,1920,1080,2073600
3,Apple,MacBook Pro,Ultrabook,15.4,AMD Radeon Pro 455,macOS,,1.83kg,2537,2880x1800,No Touchscreen,16,True,False,False,512,0,0,512,3,Intel,2.7,,Core i7,2880,1800,5184000
4,Apple,MacBook Pro,Ultrabook,13.3,Intel Iris Plus Graphics 650,macOS,,1.37kg,1803,2560x1600,No Touchscreen,8,True,False,False,256,0,0,256,4,Intel,3.1,,Core i5,2560,1600,4096000
5,Acer,Aspire 3,Notebook,15.6,AMD Radeon R5,Windows,10,2.1kg,400,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,5,AMD,3.0,9420,A9-Series,1366,768,1049088
6,Apple,MacBook Pro,Ultrabook,15.4,Intel Iris Pro Graphics,Mac OS,X,2.04kg,2139,2880x1800,No Touchscreen,16,True,False,False,256,0,0,256,6,Intel,2.2,,Core i7,2880,1800,5184000
7,Apple,Macbook Air,Ultrabook,13.3,Intel HD Graphics 6000,macOS,,1.34kg,1158,1440x900,No Touchscreen,8,True,False,False,256,0,0,256,7,Intel,1.8,,Core i5,1440,900,1296000
8,Asus,ZenBook UX430UN,Ultrabook,14.0,Nvidia GeForce MX150,Windows,10,1.3kg,1495,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,8,Intel,1.8,,Core i7 8550U,1920,1080,2073600
9,Acer,Swift 3,Ultrabook,14.0,Intel UHD Graphics 620,Windows,10,1.6kg,770,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,9,Intel,1.6,,Core i5 8250U,1920,1080,2073600
10,HP,250 G6,Notebook,15.6,Intel HD Graphics 620,No OS,,1.86kg,393,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,10,Intel,2.5,,Core i5 7200U,1366,768,1049088
11,HP,250 G6,Notebook,15.6,Intel HD Graphics 520,No OS,,1.86kg,344,1920x1080,No Touchscreen,4,False,True,False,0,500,0,500,11,Intel,2.0,,Core i3 6006U,1920,1080,2073600
12,Apple,MacBook Pro,Ultrabook,15.4,AMD Radeon Pro 555,macOS,,1.83kg,2439,2880x1800,No Touchscreen,16,True,False,False,256,0,0,256,12,Intel,2.8,,Core i7,2880,1800,5184000
13,Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,Windows,10,2.2kg,498,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,13,Intel,2.0,,Core i3 6006U,1920,1080,2073600
14,Apple,"MacBook 12""",Ultrabook,12.0,Intel HD Graphics 615,macOS,,0.92kg,1262,2304x1440,No Touchscreen,8,True,False,False,256,0,0,256,14,Intel,1.2,,Core M m3,2304,1440,3317760
15,Apple,MacBook Pro,Ultrabook,13.3,Intel Iris Plus Graphics 640,macOS,,1.37kg,1518,2560x1600,No Touchscreen,8,True,False,False,256,0,0,256,15,Intel,2.3,,Core i5,2560,1600,4096000
